Employee_ID,Age,Department,Education_Level,Years_of_Experience,Salary
E1000,30,Marketing,Bachelor's,7.5,63977.86
E1001,40,HR,Bachelor's,19.0,112242.0
E1002,36,IT,Bachelor's,14.6,106419.72
E1003,36,IT,Bachelor's,12.0,87169.6
E1004,26,Finance,Bachelor's,3.1,33824.29
E1005,28,Sales,Bachelor's,3.1,44882.27
E1006,22,Finance,Bachelor's,1.2,32091.07
E1007,42,HR,PhD,17.3,112112.17
E1008,33,Finance,Bachelor's,12.0,80037.4
E1009,36,IT,Master's,14.2,93326.32
E1010,21,IT,Bachelor's,0.4,34324.94
E1011,43,Marketing,Master's,19.4,121628.78
E1012,40,Marketing,Master's,16.6,98698.52
E1013,26,HR,Master's,4.2,47227.49
E1014,25,Sales,Bachelor's,3.6,43825.27
E1015,29,Finance,Bachelor's,3.7,43383.35
E1016,28,HR,Bachelor's,6.1,66277.27
E1017,32,Marketing,PhD,10.5,79274.91
E1018,30,Finance,Master's,8.6,62395.58
E1019,28,Marketing,PhD,5.8,60689.31
E1020,37,Finance,Bachelor's,12.2,95510.78
E1021,25,Sales,Master's,2.8,47762.33
E1022,31,HR,PhD,5.8,48503.15
E1023,28,Finance,Bachelor's,7.3,60428.83
E1024,32,IT,Bachelor's,9.1,77284.56
E1025,38,IT,Master's,15.7,97111.65
E1026,27,Finance,Master's,4.0,50219.1
E1027,35,Finance,Master's,10.3,80223.17
E1028,34,Finance,Bachelor's,11.8,78465.35
E1029,25,IT,Master's,0.9,33752.37
E1030,35,IT,Bachelor's,12.2,68693.66
E1031,25,Finance,Bachelor's,3.4,40178.06
E1032,24,Marketing,Bachelor's,1.3,34587.16
E1033,41,Marketing,Master's,19.0,109261.08
E1034,40,Sales,Master's,19.3,125012.06
E1035,39,HR,Bachelor's,16.2,95749.29
E1036,30,Marketing,Bachelor's,6.1,55249.78
E1037,26,IT,Master's,2.0,39653.7
E1038,39,Marketing,Bachelor's,13.7,98856.37
E1039,31,Sales,Master's,8.8,62420.69
E1040,25,Sales,Bachelor's,2.4,46615.82
E1041,35,HR,Bachelor's,9.9,74601.17
E1042,24,Marketing,Bachelor's,0.7,28242.46
E1043,40,IT,Bachelor's,18.2,114210.52
E1044,29,IT,Master's,5.2,54395.3
E1045,34,Finance,Bachelor's,13.3,86848.92
E1046,30,IT,Bachelor's,6.2,58249.01
E1047,35,HR,Master's,10.4,74873.43
E1048,32,HR,Bachelor's,10.9,79617.59
E1049,29,IT,Bachelor's,3.7,49960.65
E1050,41,IT,PhD,19.4,125230.08
E1051,36,Finance,Master's,15.5,93560.92
E1052,44,IT,Bachelor's,18.8,125265.17
E1053,40,Finance,PhD,17.9,100789.56
E1054,36,Finance,Master's,12.0,83241.07
E1055,40,IT,Bachelor's,18.4,115741.59
E1056,25,Sales,Bachelor's,1.8,39504.96
E1057,26,Sales,Master's,3.9,44436.5
E1058,23,Finance,Master's,0.9,33009.39
E1059,30,IT,Bachelor's,6.5,56785.0
E1060,33,Sales,Master's,7.8,62153.18
E1061,30,IT,Master's,5.4,58548.01
E1062,39,IT,Bachelor's,16.6,106485.08
E1063,30,IT,Bachelor's,7.1,58485.45
E1064,29,Marketing,Bachelor's,5.6,59698.0
E1065,35,IT,Master's,10.9,80586.5
