Area_SqFt,Bedrooms,Bathrooms,Age_Years,Location_Rating,Garage_Cars,Price_USD
3774,4,2,11,3,1,308958
4107,2,4,10,5,0,671620
1460,3,2,26,9,2,167014
1894,5,3,20,6,0,575293
1730,3,4,17,9,2,615084
1695,1,2,17,5,0,115061
4372,4,2,4,6,1,659885
3692,3,3,5,8,1,608689
2238,5,3,23,3,2,194882
2769,1,3,10,2,0,421360
1066,2,4,28,3,1,64902
1838,2,4,33,9,2,571092
930,5,3,26,6,0,321566
2082,1,1,29,4,2,371867
2735,4,1,27,3,0,382743
4044,3,2,18,2,0,267271
3771,1,1,10,4,0,336111
3519,2,2,5,9,2,435456
4335,5,4,10,4,2,720495
730,5,4,21,5,0,384509
2285,3,1,24,8,1,663896
3980,5,4,3,2,0,408097
1369,5,3,31,3,2,438471
2991,1,3,2,6,0,163146
2115,4,1,2,7,2,286610
4085,3,1,34,4,0,686619
3453,1,2,20,1,0,615281
3033,4,4,33,7,1,256868
1815,1,2,4,9,1,712526
1555,1,2,11,1,2,633771
2924,5,3,5,1,0,740203
1784,4,3,25,1,2,176747
1059,3,3,34,7,0,551592
3985,3,3,9,9,0,622167
621,4,2,6,3,0,521673
2900,5,3,18,8,1,300021
1347,2,4,14,9,2,326032
3504,1,3,19,3,0,387857
4232,5,3,14,3,0,329570
1074,4,3,17,1,2,130031
1682,1,1,29,2,2,289645
3158,3,4,17,7,0,209111
4353,2,4,8,3,1,501923
2647,3,2,1,7,1,498330
4147,4,2,7,5,0,578785
3347,1,3,5,8,1,473961
1575,4,1,24,5,2,246342
2406,1,2,28,3,1,726713
789,5,2,17,9,2,78788
3605,2,3,20,7,2,449605
3334,5,3,3,5,2,721019
3605,5,2,26,7,2,356065
1162,4,2,15,9,1,719521
2499,2,4,8,5,2,206575
4238,1,1,13,7,0,569240
1867,1,4,3,9,2,568180
3479,3,2,1,1,0,246982
2128,1,4,9,4,2,636920
3802,4,4,31,1,2,553881
4156,5,2,26,8,1,218244
4490,5,3,17,3,2,704344
1246,5,2,34,2,2,397840
2668,2,3,9,4,1,248876
3488,1,2,13,3,1,685038
2814,4,2,5,5,0,530683
1897,2,2,13,8,1,516323
3035,3,1,1,8,0,381070
1200,4,3,25,7,2,657425
2963,4,1,4,8,0,556571
2661,4,2,10,5,1,653341
841,5,4,28,6,2,432838
2641,4,1,6,8,0,406439
3424,1,3,27,1,0,722104
4017,4,2,12,6,0,672597
3212,5,1,3,6,2,435865
3545,4,4,33,5,0,525000
1963,3,1,10,4,0,110123
2739,3,3,31,1,1,435876
1990,5,1,15,8,0,132672
3603,1,4,7,6,2,268408
2078,1,4,14,3,1,317058
4099,2,3,14,3,2,636526
3156,5,4,3,6,1,498345
1375,4,2,3,7,1,588290
634,5,4,22,8,0,717692
2853,2,2,19,5,2,417138
3752,5,1,12,6,0,421133
2555,5,2,5,1,1,670096
2185,2,2,10,6,0,77352
4059,1,1,33,9,1,645369
3673,4,4,13,4,1,516994
1621,2,2,32,1,2,258641
4061,3,4,11,9,2,558595
3213,1,1,24,4,2,81645
1729,3,3,19,2,2,609631
4443,1,4,6,1,0,353919
4493,4,4,4,3,2,588409
2100,4,3,33,7,2,526864
1302,5,3,13,2,2,319806
3049,3,1,19,9,1,331415
3377,1,4,12,2,1,492420
2179,4,4,11,5,2,216284
761,2,1,6,8,1,432965
801,4,4,12,8,1,476697
2581,2,2,27,3,0,559812
1595,1,2,25,2,1,557106
2917,4,2,3,9,0,547245
1415,4,4,3,3,1,155011
3942,1,2,20,8,2,566122
1055,4,2,28,2,1,622970
4133,2,1,23,3,1,514657
4398,4,1,3,1,0,133749
1875,3,3,24,6,2,61903
1616,5,3,6,7,0,226416
4373,2,3,20,4,2,686701
2943,3,3,11,1,2,408678
4396,1,1,32,3,0,706990
3367,2,1,27,9,1,421063
4420,5,1,21,5,2,736801
937,5,2,13,6,1,398322
1478,1,2,22,4,0,215934
1676,1,3,22,1,0,484319
1391,2,2,28,5,0,202582
2864,4,4,21,5,0,581017
1363,1,1,18,5,2,128309
2835,4,3,31,6,0,234122
979,3,3,21,2,1,310953
1092,5,4,14,1,1,611665
3712,4,2,25,2,2,380480
1780,5,3,27,6,0,397456
2662,4,2,23,5,2,307663
4484,3,2,31,5,2,550811
664,1,4,29,6,2,381373
3168,3,3,30,7,0,649967
